full_name,short_name,year,rate
MaxLife  Insurance Company Ltd.,Max,2020,0.82
MaxLife  Insurance Company Ltd.,Max,2021,0.79
PNB Metlife India Insurance Company Ltd.,PNB,2016,0.633
PNB Metlife India Insurance Company Ltd.,PNB,2017,0.6931
PNB Metlife India Insurance Company Ltd.,PNB,2018,0.7170000000000001
PNB Metlife India Insurance Company Ltd.,PNB,2019,0.7731710884789088
PNB Metlife India Insurance Company Ltd.,PNB,2020,0.7422
PNB Metlife India Insurance Company Ltd.,PNB,2021,0.7588000000000001
Pramerica Life Insurance Company Ltd.,Pramerica,2016,0.5008378363112609
Pramerica Life Insurance Company Ltd.,Pramerica,2017,0.6476498788232589
Pramerica Life Insurance Company Ltd.,Pramerica,2018,0.7432882397413418
Pramerica Life Insurance Company Ltd.,Pramerica,2019,0.772
Pramerica Life Insurance Company Ltd.,Pramerica,2020,0.9079
Pramerica Life Insurance Company Ltd.,Pramerica,2021,0.9402471320097764
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2016,0.558
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2017,0.603
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2018,0.664728725422367
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2019,0.7259427768222085
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2020,0.7076
Reliance Nippon  Life Insurance Company Ltd.,Reliance,2021,0.7288051928820002
SBI Life Insurance Company Ltd.,SBI,2016,0.6925
SBI Life Insurance Company Ltd.,SBI,2017,0.6880827247734714
SBI Life Insurance Company Ltd.,SBI,2018,0.6985896633431661
SBI Life Insurance Company Ltd.,SBI,2019,0.7091
SBI Life Insurance Company Ltd.,SBI,2020,0.7119
SBI Life Insurance Company Ltd.,SBI,2021,0.7929490135387331
Shriram Life Insurance Company Ltd.,Shriram,2016,0.4719369641475641
Shriram Life Insurance Company Ltd.,Shriram,2017,0.44419169745049353
Shriram Life Insurance Company Ltd.,Shriram,2018,0.5202241420976317
Shriram Life Insurance Company Ltd.,Shriram,2019,0.5727840158656359
Shriram Life Insurance Company Ltd.,Shriram,2020,0.5407
Shriram Life Insurance Company Ltd.,Shriram,2021,0.5587737425255013
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2016,0.5289
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2017,0.6044739256227507
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2018,0.6896
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2019,0.6962800176969328
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2020,0.6592
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,2021,0.6944526276689764
TATA AIA Life Insurance Company Ltd.,Tata,2016,0.5684
TATA AIA Life Insurance Company Ltd.,Tata,2017,0.5657947836484568
TATA AIA Life Insurance Company Ltd.,Tata,2018,0.6533
TATA AIA Life Insurance Company Ltd.,Tata,2019,0.7106999999999999
TATA AIA Life Insurance Company Ltd.,Tata,2020,0.7304999999999999
TATA AIA Life Insurance Company Ltd.,Tata,2021,0.7015251734488328
